Source Bill,Bill Date,Vendor,Item Description,Pieces,Unit Cost (Negotiated),Subtotal,MRP per piece,Notes
Bill 1,2026-01-05,Modern Chikan,Suit Soft Silk Mukesh H Sequence (L Blue),1,6800,6800,10990,
Bill 1,2026-01-05,Modern Chikan,Suit Mul Chanderi Cutdana H Paul,1,6800,6800,9990,
Bill 1,2026-01-05,Modern Chikan,Suit Mul Chanderi Paul Baby Pink,1,6200,6200,9990,
Bill 1,2026-01-05,Modern Chikan,Suit Mul Chanderi Bird Paul D Blue,1,6500,6500,9990,
Bill 1,2026-01-05,Modern Chikan,Suit Mul Chanderi Paul L Blue,1,6000,6000,9590,
Bill 1,2026-01-05,Modern Chikan,Suit Mul Chanderi Paul (W/C),1,4800,4800,7590,
Bill 1,2026-01-05,Modern Chikan,Suit Mul Chanderi Seq (F/J) + Paul,1,8200,8200,13990,
Bill 1,2026-01-05,Modern Chikan,Suit Mul Chanderi (A/O Dupatta) L Blue,1,9800,9800,15990,
Bill 1,2026-01-05,Modern Chikan,Suit Mul Chanderi Kasab (S/T) Yellow,1,7500,7500,10990,
Bill 1,2026-01-05,Modern Chikan,Suit Limp Fabric,1,8500,8500,14990,
Bill 1,2026-01-05,Modern Chikan,Suit Pure Organza (N/B) Beige,1,8000,8000,14990,
Bill 1,2026-01-05,Modern Chikan,Suit Viscose Georgette (W/W),1,5000,5000,7590,
Bill 1,2026-01-05,Modern Chikan,Anarkali Mul Chanderi (F/B) Red & White,2,8000,16000,13990,Pair price 8000 each
Bill 1,2026-01-05,Modern Chikan,Anarkali Mul Chanderi (W/C) Beige,1,8800,8800,14990,
Bill 1,2026-01-05,Modern Chikan,Anarkali Mul Chanderi (O/W) Black,1,6800,6800,10990,
Bill 1,2026-01-05,Modern Chikan,Cord Set Cine Tissue Dyed Eq Jali,1,7000,7000,11990,
Bill 1,2026-01-05,Modern Chikan,Cord Set Limp Straight Beige,1,5200,5200,8590,
Bill 1,2026-01-05,Modern Chikan,Cord Set Limp Shirt + Palazzo,1,5500,5500,9090,
Bill 1,2026-01-05,Modern Chikan,Maxi Dress Mul Chanderi Jal (D/B),1,4000,4000,6090,
Bill 2,2026-04-22,Modern Chikan,Suit Viscose (W/B),1,7000,7000,10990,
Bill 2,2026-04-22,Modern Chikan,Suit Pure Organza White (W/Z) Faux Silk,1,11500,11500,16990,
Bill 2,2026-04-22,Modern Chikan,Suit Pure Organza All Over Brown (W/B),2,9700,19400,14990,
Bill 2,2026-04-22,Modern Chikan,Suit Pure Organza (B/F) (W/B),1,17500,17500,18990,
Bill 2,2026-04-22,Modern Chikan,Suit Slub Tissue (B/P) (W/B),1,11000,11000,17990,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi (B/F) (W/B),3,8200,24600,12990,
Bill 2,2026-04-22,Modern Chikan,Suit Kota Tissue,3,2000,6000,2990,
Bill 2,2026-04-22,Modern Chikan,Suit Kota Calaviya,1,2150,2150,3090,
Bill 2,2026-04-22,Modern Chikan,Suit Kota Tepchi (B/P),2,2150,4300,3090,
Bill 2,2026-04-22,Modern Chikan,Suit Pure Organza (C/M),2,4300,8600,6590,
Bill 2,2026-04-22,Modern Chikan,Suit Pure Organza Faul (W/B),1,10500,10500,16590,
Bill 2,2026-04-22,Modern Chikan,Dupatta Pure Bandej,1,2000,2000,2890,
Bill 2,2026-04-22,Modern Chikan,Dupatta Mul,1,1500,1500,2090,
Bill 2,2026-04-22,Modern Chikan,Top Mul Chanderi (W/B),1,3300,3300,4990,
Bill 2,2026-04-22,Modern Chikan,Pants Mul Chanderi (B/S) (W/B),3,2700,8100,3890,
Bill 2,2026-04-22,Modern Chikan,Top Mul Chanderi A-Line,3,2300,6900,3590,
Bill 2,2026-04-22,Modern Chikan,Top Mul Chanderi Kalida (W/B),1,3400,3400,5290,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi (W/C) (N/B) Side Booti,2,6000,12000,9090,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi (W/C) Booti Jaal,1,6000,6000,9090,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi Booti Jaal,1,5800,5800,8990,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi Lucky (N/B),1,5800,5800,8590,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi (W/C) French Booti MD,1,5800,5800,8990,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi (FN) (W/W) Panel Side + Booti,1,5800,5800,9090,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi (W/W) Side Booti,1,5200,5200,7890,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi (C/L),1,5200,5200,8190,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi Zari Dupatta Jaal,1,5000,5000,7890,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi Zari (N/B),1,3600,3600,5490,
Bill 2,2026-04-22,Modern Chikan,Suit Mul Chanderi (W/C) Aanchla Neck,1,5800,5800,8990,
Bill 2,2026-04-22,Modern Chikan,Kurti Linen Buster Yellow (N/B),2,3250,6500,4990,Pair price 3250 each (6800 list / 6500 paid for 2)
Bill 2,2026-04-22,Modern Chikan,Kurti Mul Chanderi,2,2000,4000,2790,
Bill 2,2026-04-22,Modern Chikan,Kurti Mul Cotton,1,2100,2100,2890,
Bill 3,2026-04-23,Nafasat Chikan,Kurti Muslin,3,3199.33,9598,3999,Bill total 9598 / 3 pieces (GST inclusive)
Bill 3,2026-04-23,Nafasat Chikan,Kurti Muslin,1,3199,3199,3999,
Bill 3,2026-04-23,Nafasat Chikan,Kurti Muslin,1,3039,3039,3799,
Bill 3,2026-04-23,Nafasat Chikan,Tops Cotton,1,1279,1279,1599,
Bill 3,2026-04-23,Nafasat Chikan,Kurti Cotton SL,1,1119,1119,1399,
Bill 3,2026-04-23,Nafasat Chikan,Shrug,2,3599,7198,4499,
Bill 3,2026-04-23,Nafasat Chikan,Gharara Set Muslin,1,5279,5279,6599,
Bill 3,2026-04-23,Nafasat Chikan,Pant Set Muslin,1,4799,4799,5999,
Bill 3,2026-04-23,Nafasat Chikan,Tops Muslin,4,1599.25,6397,1999,
Bill 3,2026-04-23,Nafasat Chikan,Tops Viscose,1,2239,2239,2799,
Bill 3,2026-04-23,Nafasat Chikan,Cord Set Muslin,1,3599,3599,4499,
Bill 3,2026-04-23,Nafasat Chikan,Gharara Set Viscose,1,6399,6399,7999,
Bill 3,2026-04-23,Nafasat Chikan,Anarkali Viscose,1,5199,5199,6499,
Bill 3,2026-04-23,Nafasat Chikan,Kurta Dupatta Mul,2,3599,7198,4499,
Bill 3,2026-04-23,Nafasat Chikan,Dress Tissue,1,3999,3999,4999,
Bill 4,2026-04-22,Jasleen Lucknow,Scarf Mull Chandni,3,680,2040,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Navy Blue,1,1800,1800,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Beige Allover,1,1800,1800,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Beige Butta,1,1700,1700,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Off White Allover with Zari Work,1,2050,2050,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Beige Butta with Cut Dana,1,1700,1700,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Picha Green with Jali,1,1850,1850,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Wine Allover,1,1800,1800,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Green Mukaish,1,2100,2100,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Velvet Maroon Zardozi with Butta,1,1700,1700,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Black Velvet,1,1800,1800,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Black Allover Gota Patti,1,2100,2100,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Wine Colour Zardozi,1,2100,2100,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Silk Black with Beadwork,1,2100,2100,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Bucket White,1,1150,1150,,
Bill 4,2026-04-22,Jasleen Lucknow,Potli Bucket Yellow,1,1150,1150,,
Bill 5,2026-04-22,Lucknow Market - Cash Purchase,Organza Kaftan,1,8000,8000,,
Bill 6,2026-04-22,Lucknow Market - Cash Purchase,Chatapati Kids Sharara,1,2500,2500,,
